conm,conml,Year_Last,weburl,loc,tic
MARINUS PHARMACEUTICALS INC,Marinus Pharmaceuticals Inc,2021,marinuspharma.com,USA,MRNS
HARRISON VICKERS & WATERMAN,Harrison Vickers & Waterman Inc,2021,hvwenergy.com,USA,HVCW
NUTRALIFE BIOSCIENCES INC,Nutralife Biosciences Inc,2021,www.nutralifebiosciences.com,USA,NLBS
VANECK MERK GOLD TRUST,VanEck Merk Gold Trust,2021,www.merkgold.com/overview.html,USA,OUNZ
FIRST TRUST MANAGED MUNI ETF,First Trust Managed Municipal ETF,2021,www.ftportfolios.com,USA,FMB
NEXEO SOLUTIONS INC,Nexeo Solutions Inc,2021,www.nexeosolutions.com,USA,NXEO
DERMTECH INC,DermTech Inc,2021,www.dermtech.com,USA,DMTK
INVESTAR HOLDING CORP,Investar Holding Corp,2021,www.investarbank.com,USA,ISTR
KITE PHARMA INC,Kite Pharma Inc,2021,www.kitepharma.com,USA,KITE
GOPRO INC,GoPro Inc,2021,www.gopro.com,USA,GPRO
ARDELYX INC,Ardelyx Inc,2021,www.ardelyx.com,USA,ARDX
SYNDAX PHARMACEUTICALS INC,Syndax Pharmaceuticals Inc,2021,www.syndax.com,USA,SNDX
DENBURY INC,Denbury Inc.,2021,www.denbury.com,USA,DEN
NEXTERA ENERGY PARTNERS LP,NextEra Energy Partners LP,2021,www.investor.nexteraenergypartners.com,USA,NEP
GOLDEN GROWERS COOPERATIVE,Golden Growers Cooperative,2021,www.goldengrowers.com,USA,GGROU
AMPHASTAR PHARMACEUTICLS INC,Amphastar Pharmaceuticals Inc,2021,www.amphastar.com,USA,AMPH
WINDSTREAM TECHNOLOGIES INC,WindStream Technologies Inc,2021,www.windstream-inc.com,USA,WSTI
VECTRUS INC,Vectrus Inc,2021,www.vectrus.com,USA,VEC
XTRACKERS HARVEST CSI 500 CH,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,2021,etf.dws.com,USA,ASHS
ADEPTUS HEALTH INC,Adeptus Health Inc,2021,www.adhc.com,USA,ADPTQ
SORRENTO TECH INC,Sorrento Tech Inc,2021,www.rokabio.com,USA,ROKA
FIRST FOUNDATION INC,First Foundation Inc,2021,www.firstfoundationinc.com,USA,FFWM
SYNCHRONY FINANCIAL,Synchrony Financial,2021,www.synchrony.com,USA,SYF
KIMBALL ELECTRONICS INC,Kimball Electronics Inc,2021,www.kimballelectronics.com,USA,KE
MASONITE INTERNATIONAL CORP,Masonite International Corp,2021,www.masonite.com,USA,DOOR
LIBERTY TRIPADVISOR HOLDINGS,Liberty TripAdvisor Holdings Inc,2021,www.libertytripadvisorholdings.com,USA,LTRPA
ISHARES INT RATE HDGD CP BD,iShares Interest Rate Hedged Corporate Bond ETF,2021,www.ishares.com,USA,LQDH
ISHARES INT RATE HDGD HI YLD,iShares Interest Rate Hedged High Yield Bond ETF,2021,www.ishares.com,USA,HYGH
RELMADA THERAPEUTICS INC,Relmada Therapeutics Inc,2021,www.relmada.com,USA,RLMD
TERRAFORM POWER INC,TerraForm Power Inc,2021,www.terraformpower.com,USA,TERP
VIA RENEWABLES INC,Via Renewables Inc,2021,viarenewables.com,USA,VIA
TESCO CORP,Tesco Corp,2021,www.tescocorp.com,USA,TESO
ARISTA NETWORKS INC,Arista Networks Inc,2021,www.arista.com,USA,ANET
MATINAS BIOPHARMA HLDGS INC,Matinas BioPharma Holdings Inc,2021,www.matinasbiopharma.com,USA,MTNB
UNITED DEV FUNDING IV,United Development Funding IV,2021,www.udfiv.com,USA,UDFI
SPDR MSCI EAFE STRATEGICFACT,SPDR MSCI EAFE StrategicFactors ETF,2021,www.ssga.com,USA,QEFA
SPDR MSCI EM MKTS STRATEGICF,SPDR MSCI Emerging Markets StrategicFactors ETF,2021,www.ssga.com,USA,QEMM
SPDR MSCI WORLD STRATEGICFAC,SPDR MSCI World StrategicFactors ETF,2021,www.ssga.com,USA,QWLD
LATITUDE 360 INC,Latitude 360 Inc,2021,www.latitude360.com,USA,LATX
SWEEGEN INC,SweeGen Inc,2021,www.sweegen.com,USA,SWEE
CISCO SYSTEMS INC,Cisco Systems Inc,2021,www.cisco.com,USA,CSCO
BLACKSTONE MORTGAGE TR INC,Blackstone Mortgage Trust Inc,2021,www.blackstonemortgagetrust.com,USA,BXMT
PFENEX INC,Pfenex Inc,2021,www.pfenex.com,USA,PFNX
INVENTERGY GLOBAL INC,Inventergy Global Inc,2021,www.inventergy.com,USA,INVT
GABELLI GBL SM & MID CAP VAL,Gabelli Global Small and Mid Cap Value Trust (The),2021,www.gabelli.com,USA,GGZ
HEALTHEQUITY INC,HealthEquity Inc,2021,www.healthequity.com,USA,HQY
ISHARES CORE MSCI EUROPE ETF,iShares Core MSCI Europe ETF,2021,www.ishares.com,USA,IEUR
ISHARES CORE MSCI PACIFIC,iShares Core MSCI Pacific ETF,2021,www.ishares.com,USA,IPAC
ISHARES CORE DIV GROWTH ETF,iShares Core Dividend Growth ETF,2021,www.ishares.com,USA,DGRO
ISHARES CORE TOTAL USD BOND,iShares Core Total USD Bond Market ETF,2021,www.ishares.com,USA,IUSB
IMPRIVATA INC,Imprivata Inc,2021,www.imprivata.com,USA,IMPR
SOLENO THERAPEUTICS INC,Soleno Therapeutics Inc,2021,soleno.life,USA,SLNO
HOLOGIC INC,Hologic Inc,2021,www.hologic.com,USA,HOLX
TRUPANION INC,Trupanion Inc,2021,www.trupanion.com,USA,TRUP
NBCUNIVERSAL MEDIA LLC,NBCUniversal Media LLC,2021,www.nbcuniversal.com,USA,CMCSA2
SAGE THERAPEUTICS INC,Sage Therapeutics Inc,2021,www.sagerx.com,USA,SAGE
SHELL MIDSTREAM PARTNERS LP,Shell Midstream Partners LP,2021,www.shellmidstreampartners.com,USA,SHLX
IRADIMED CORP,iRadimed Corp,2021,www.iradimed.com,USA,IRMD
PLYMOUTH INDL REIT INC,Plymouth Industrial REIT Inc,2021,www.plymouthreit.com,USA,PLYM
CANNAE HOLDINGS INC,Cannae Holdings Inc,2021,www.cannaeholdings.com,USA,CNNE
ANTERIX INC,Anterix Inc,2021,www.anterix.com,USA,ATEX
PARAGON OFFSHORE PLC,Paragon Offshore Plc,2021,www.paragonoffshore.com,USA,PGNPQ
BRE SELECT HOTELS CORP,BRE Select Hotels Corp,2021,bre-select-hotels.com,USA,0175A
HELIUS MEDICAL TECHNOLOGIES,Helius Medical Technologies Inc,2021,heliusmedical.com,USA,HSDT
ZOSANO PHARMA CORP,Zosano Pharma Corp,2021,www.zosanopharma.com,USA,ZSAN
LANTHEUS HOLDINGS INC,Lantheus Holdings Inc,2021,www.lantheus.com,USA,LNTH
INTERSECT ENT INC,Intersect ENT Inc,2021,www.intersectent.com,USA,XENT
TOBIRA THERAPEUTICS INC,Tobira Therapeutics Inc,2021,www.tobiratherapeutics.com,USA,TBRA
IMMUNE DESIGN CORP,Immune Design Corp,2021,www.immunedesign.com,USA,IMDZ
ATARA BIOTHERAPEUTICS INC,Atara Biotherapeutics Inc,2021,www.atarabio.com,USA,ATRA
OCULAR THERAPEUTIX INC,Ocular Therapeutix Inc,2021,www.ocutx.com,USA,OCUL
LOXO ONCOLOGY INC,Loxo Oncology Inc,2021,www.loxooncology.com,USA,LOXO
YODLEE INC,Yodlee Inc,2021,www.yodlee.com,USA,YDLE
BRIGHTSPHERE INVEST GRP INC,Brightsphere Investment Group Inc,2021,www.bsig.com,USA,BSIG
ADVERUM BIOTECHNOLOGIES,Adverum Biotechnologies Inc,2021,www.adverum.com,USA,ADVM
VICTORYSHRS US EQ INM ENH VO,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,2021,investor.vcm.com,USA,CDC
VICTORYSHARES US 500 ENH VOL,VictoryShares US 500 Enhanced Volatility Wtd ETF,2021,investor.vcm.com,USA,CFO
VICTORYSHARES US 500 VOL WTD,VictoryShares US 500 Volatility Wtd ETF,2021,investor.vcm.com,USA,CFA
VIKING THERAPEUTICS INC,Viking Therapeutics Inc,2021,www.vikingtherapeutics.com,USA,VKTX
T2 BIOSYSTEMS INC,T2 Biosystems Inc,2021,www.t2biosystems.com,USA,TTOO
RUMBLEON INC,RumbleON Inc,2021,www.rumbleon.com,USA,RMBL
SURGE COMPONENTS INC,Surge Components Inc,2021,www.surgecomponents.com,USA,SPRS
AKOUSTIS TECHNOLOGIES INC,Akoustis Technologies Inc,2021,www.akoustis.com,USA,AKTS
DIPLOMAT PHARMACY INC,Diplomat Pharmacy Inc,2021,www.diplomatpharmacy.com,USA,DPLO
GROW CAPITAL INC,Grow Capital Inc,2021,www.growcapitalinc.com,USA,GRWC
ISHARES GLOBAL REIT ETF,iShares Global REIT ETF,2021,www.ishares.com,USA,REET
ISHARES CURR HDG MSCI EUROZN,iShares Currency Hedged MSCI Eurozone ETF,2021,www.ishares.com,USA,HEZU
DIGILITI MONEY GROUP INC,Digiliti Money Group Inc,2021,www.digilitimoney.com,USA,DGLT
STATE NATIONAL COS INC,State National Companies Inc,2021,www.statenational.com,USA,SNC
MABVAX THERAPEUTICS HLDGS,MabVax Therapeutics Holdings Inc,2021,www.mabvax.com,USA,MBVXQ
C1 FINANCIAL INC,C1 Financial Inc,2021,www.c1bank.com,USA,BNK
ADM TRONICS UNLIMITED INC/DE,ADM Tronics Unlimited Inc,2021,www.admtronics.com,USA,ADMT
ACCELERATE DIAGNOSTICS INC,Accelerate Diagnostics Inc,2021,acceleratediagnostics.com,USA,AXDX
SPROTT GOLD MINERS ETF,Sprott Gold Miners ETF,2021,www.sprottetfs.com,USA,SGDM
EL POLLO LOCO HOLDINGS INC,El Pollo Loco Holdings Inc,2021,www.elpolloloco.com,USA,LOCO
EPIRUS BIOPHARMACEUTICALS,EPIRUS Biopharmaceuticals Inc,2021,epirusbiopharma.com,USA,EPRSQ
FIBROCELL SCIENCE INC,Fibrocell Science Inc,2021,fibrocell.com,USA,FCSC
AMERICAN BIO MEDICA CORP,American Bio Medica Corp.,2021,www.abmc.com,USA,ABMC
RIGHTSIDE GROUP LTD,Rightside Group Ltd,2021,www.rightside.co,USA,NAME
OTONOMY INC,Otonomy Inc,2021,www.otonomy.com,USA,OTIC
ASTERIAS BIOTHERAPEUTICS INC,Asterias Biotherapeutics Inc,2021,www.asteriasbiotherapeutics.com,USA,AST
ISHARES ST HIGH QUAL CDN BD,iShares Short Term High Quality Canadian Bond Index ETF,2021,www.blackrock.com,USA,XSQ.
INVESCO LDRT U.S. 0-5 YR CR,Invesco LadderRite U.S. 0-5 Year Corporate Bond Index ETF,2021,www.invesco.ca,USA,USB.
INDEPENDENCE CONTRACT DRLLNG,Independence Contract Drilling Inc,2021,www.icdrilling.com,USA,ICD
NEW IRELAND FUND INC,New Ireland Fund Inc.,2021,www.newirelandfund.com,USA,IRL
NEWAGE INC,NewAge Inc,2021,www.newage.com,USA,NBEV
MEDIZONE INTL INC,Medizone International Inc,2021,www.medizoneint.com,USA,MZEIQ
808 RENEWABLE ENERGY CORP,808 Renewable Energy Corp,2021,www.silverlightev.com,USA,RNWR
MERCHANTS FINANCIAL GROUP,Merchants Financial Group,2021,www.merchantsbank.com,USA,MFGI
MBT BANCSHARES INC,MBT Bancshares Inc,2021,www.metairiebank.com,USA,MBKL
FIRST TRUST GBL RISK MANGD,First Trust Global Risk Managed Income Index ETF,2021,www.firsttrust.ca,USA,ETP.
FIRST TR DRSY WRT INTL FOC 5,First Trust Exchange-Traded Trust VI Dorsey Wright International Focus 5 ETF,2021,www.ftportfolios.com,USA,IFV
VANECK VECTORS CHINAAMC SME,VanEck Vectors ChinaAMC SME-ChiNext ETF,2021,www.vaneck.com,USA,CNXT
PETRO-VICTORY ENERGY CORP,Petro-Victory Energy Corp,2021,www.petrovictoryenergy.com,USA,PTVRF
CONTRAFECT CORP,ContraFect Corp,2021,www.contrafect.com,USA,CFRX
LIBERTY BROADBAND CORP,Liberty Broadband Corp,2021,www.libertybroadband.com,USA,LBRDK
TEKLA HEALTHCARE OPPTYS FUND,Tekla Healthcare Opportunities Fund,2021,www.teklacap.com/thq.html,USA,THQ
TETRA TECHNOLOGIES INC/DE,TETRA Technologies Inc.,2021,www.tetratec.com,USA,TTI
VICOR CORP,Vicor Corp.,2021,www.vicorpower.com,USA,VICR
PANBELA THERAPEUTICS INC,Panbela Therapeutics Inc,2021,www.panbela.com,USA,PBLA
UGE INTERNATIONAL LTD,UGE International Ltd,2021,www.ugei.com,USA,UGEIF
KIORA PHARMACEUTICALS INC,Kiora Pharmaceuticals Inc,2021,www.kiorapharma.com,USA,KPRX
AIRBORNE WIRELESS NETWORK,Airborne Wireless Network,2021,www.airbornewirelessnetwork.com,USA,ABWN
FOCUS UNIVERSAL INC,Focus Universal Inc,2021,www.focusuniversal.com,USA,FCUV
VICTORY SHA US DISRY ENH VOL,VictoryShares US Discovery Enhanced Volatility Wtd ETF,2021,advisor.vcm.com,USA,CSF
OBOCON INC,Obocon Inc,2021,www.obocon.com,USA,OBCN
FIRST TRUST ENHANCED SHT MAT,First Trust Exchange Traded Fund IV - First Trust Enhanced Short Maturity ETF,2021,www.ftportfolios.com,USA,FTSM
AVANOS MEDICAL INC,Avanos Medical Inc,2021,avanos.com,USA,AVNS
NOCOPI TECHNOLOGIES INC,Nocopi Technologies Inc,2021,www.nocopi.com,USA,NNUP
SECOND SIGHT MEDICAL PRODS,Second Sight Medical Products Inc,2021,www.secondsight.com,USA,EYES
VITAE PHARMACEUTICALS INC,Vitae Pharmaceuticals Inc,2021,www.vitaepharma.com,USA,VTAE
UNIVERSITY BANCORP INC,University Bancorp Inc,2021,www.university-bank.com,USA,UNIB
GRANITE CONSTRUCTION INC,Granite Construction Inc.,2021,www.graniteconstruction.com,USA,GVA
CALIFORNIA RESOURCES CORP,California Resources Corp,2021,www.crc.com,USA,CRC
RIDGEFIELD ACQUISITION CORP,Ridgefield Acquisition Corp,2021,www.ridgefieldacquisition.com,USA,RDGA
ZAYO GROUP HOLDINGS INC,Zayo Group Holdings Inc,2021,www.zayo.com,USA,ZAYO
CATERPILLAR FINANCIAL SVCS,Caterpillar Financial Services,2021,www.catfinancial.com,USA,CAT1
LANDSTAR SYSTEM INC,Landstar System Inc,2021,www.landstar.com,USA,LSTR
FIRST TRUST HIGH INC S F ETF,First Trust High Income Strategic Focus ETF,2021,www.ftportfolios.com,USA,HISF
B/E AEROSPACE INC,B/E Aerospace Inc,2021,www.beaerospace.com,USA,BEAV
KEMPER CORP/DE,Kemper Corp,2021,www.kemper.com,USA,KMPR
ARMANINO FOODS DISTINCTION,Armanino Foods of Distinction Inc,2021,www.armaninofoods.com,USA,AMNF
UNIVAR SOLUTIONS INC,Univar Solutions Inc,2021,www.univar.com,USA,UNVR
CORINDUS VASCULAR ROBOTICS,Corindus Vascular Robotics Inc,2021,www.corindus.com,USA,CVRS
CITIZENS FINANCIAL SVCS INC,Citizens Financial Services Inc,2021,www.firstcitizensbank.com,USA,CZFS
VYNE THERAPEUTICS INC,VYNE Therapeutics Inc,2021,www.vynetherapeutics.com,USA,VYNE
COMMUNITY BANCORP INC/VT,Community Bancorp/VT,2021,www.com,USA,CMTV
PROSHARES MSCI EAFE DIV GRWR,ProShares MSCI EAFE Dividend Growers ETF,2021,www.proshares.com/funds/efad.html,USA,EFAD
WAYFAIR INC,Wayfair Inc,2021,www.wayfair.com,USA,W
AAON INC,AAON Inc,2021,www.aaon.com,USA,AAON
MEDLEY MANAGEMENT INC,Medley Management Inc,2021,www.mdly.com,USA,MDLM
CREATIVE REALITIES INC,Creative Realities Inc,2021,www.cri.com,USA,CREX
EARTH SEARCH SCIENCES INC,Earth Search Sciences Inc,2021,www.earthsearch.com,USA,ESSE
ELECTRONIC SYSTEM TECH INC,Electronic System Tech Inc,2021,www.esteem.com,USA,ELST
WBI BULLBEAR VALUE 3000 ETF,WBI BullBear Value 3000 ETF,2021,www.wbietfs.com,USA,WBIF
WBI BULLBEAR YIELD 3000 ETF,WBI BullBear Yield 3000 ETF,2021,www.wbietfs.com,USA,WBIG
WBI BULLBEAR QUALTY 3000 ETF,WBI BullBear Quality 3000 ETF,2021,www.wbietfs.com,USA,WBIL
CIVISTA BANCSHARES INC,Civista Bancshares Inc,2021,civb.com,USA,CIVB
WBI BULLBEAR GLOBAL INCM ETF,WBI BullBear Global Income ETF,2021,www.wbietfs.com,USA,WBII
RHYTHM PHARMACEUTICLS,Rhythm Pharmaceuticals Inc,2021,www.rhythmtx.com,USA,RYTM
PARAMOUNT GROUP INC,Paramount Group Inc,2021,www.paramount-group.com,USA,PGRE
GREAT WESTERN BANCORP INC,Great Western Bancorp Inc,2021,www.greatwesternbank.com,USA,GWB
DERMIRA INC,Dermira Inc,2021,www.dermira.com,USA,DERM.2
VIVINT SOLAR INC,Vivint Solar Inc,2021,www.vivintsolar.com,USA,VSLR
CALITHERA BIOSCIENCES INC,Calithera Biosciences Inc,2021,www.calithera.com,USA,CALA
USD PARTNERS LP,USD Partners LP,2021,www.usdpartners.com,USA,USDP
STORE CAPITAL CORP,STORE Capital Corp,2021,www.storecapital.com,USA,STOR
VERITEX HOLDINGS INC,Veritex Holdings Inc,2021,www.veritexbank.com,USA,VBTX
CNX MIDSTREAM PARTNERS LP,CNX Midstream Partners LP,2021,www.cnxmidstream.com,USA,CNXM
WAVEDANCER INC,WaveDancer Inc,2021,wavedancer.com,USA,WAVD
FIRST TRUST LONG/SH EQTY ETF,First Trust Long/Short Equity ETF,2021,www.ftportfolios.com,USA,FTLS
GREENSHIFT CORP,Greenshift Corp,2021,www.greenshift.com,USA,GERS
INVESCO S&P INTL DEVLP VOL,Invesco S&P International Developed Low Volatility Index Etf,2021,www.invesco.ca,USA,ILV.
FIFTH STREET ASSET MGMT INC,Fifth Street Asset Management Inc,2021,www.fifthstreetfinance.com,USA,FSAM
LUCKWEL PHARMACEUTICALS INC,Luckwel Pharmaceuticals Inc,2021,luckwel.com,USA,LWEL
PRA HEALTH SCIENCES INC,PRA Health Sciences Inc,2021,prahs.com,USA,PRAH
NVE CORP,NVE Corp,2021,www.nve.com,USA,NVEC
RIVER CITY BANK/CA,River City Bank/CA,2021,www.rivercitybank.com,USA,RCBC
CDK GLOBAL INC,CDK Global Inc,2021,www.cdkglobal.com,USA,CDK
AVANIR PHARMACEUTICALS INC,AVANIR Pharmaceuticals Inc,2021,www.avanir.com,USA,AVNR
MERIT MEDICAL SYSTEMS INC,Merit Medical Systems Inc,2021,www.merit.com,USA,MMSI
INVESCO BULTSHRS 2023 CP ETF,Invesco BulletShares 2023 Corporate Bond ETF,2021,www.invesco.com,USA,BSCN
INVESCO BULTSHRS 2024 CP ETF,Invesco BulletShares 2024 Corporate Bond ETF,2021,www.invesco.com,USA,BSCO
INVESCO BULTSHRS 2022 HG ETF,Invesco BulletShares 2022 High Yield Corporate Bond ETF,2021,www.invesco.com,USA,BSJM
SIERRA MONITOR CORP,Sierra Monitor Corp,2021,www.sierramonitor.com,USA,SRMC
FRESHPET INC,Freshpet Inc,2021,www.freshpet.com,USA,FRPT
VICTORY CPTL HLDGS INC,Victory Capital Holdings Inc,2021,www.vcm.com,USA,VCTR
VWR CORP,VWR Corp,2021,www.vwr.com,USA,VWR
PROTEON THERAPEUTICS INC,Proteon Therapeutics Inc,2021,www.proteontherapeutics.com,USA,PRTO
CITIUS PHARMACEUTICALS INC,Citius Pharmaceuticals Inc,2021,www.citiuspharma.com,USA,CTXR
CAESARS ENTERTAINMENT INC,Caesars Entertainment Inc,2021,www.caesars.com,USA,CZR
TRIUMPH BANCORP INC,Triumph Bancorp Inc,2021,www.triumphbancorp.com,USA,TBK
ETF SER SOLUTIONS DEEP VALUE,ETF Series Solutions Deep Value ETF,2021,www.roundhillinvestments.com/etf/deep/,USA,DEEP
BIOSIG TECHNOLOGIES INC,BioSig Technologies Inc,2021,www.biosig.com,USA,BSGM
CITIZENS FINANCIAL GROUP INC,Citizens Financial Group Inc,2021,www.citizensbank.com,USA,CFG
GREAT BASIN SCIENTIFIC INC,Great Basin Scientific Inc,2021,gbscience.com,USA,GBSNQ
ANN INC,Ann Inc,2021,www.anninc.com,USA,ANN
HESS MIDSTREAM LP,Hess Midstream LP,2021,www.hessmidstream.com,USA,HESM
MAMMOTH ENERGY SERVICES INC,Mammoth Energy Services Inc,2021,www.mammothenergy.com,USA,TUSK
VIVEVE MEDICAL INC,Viveve Medical Inc,2021,www.viveve.com,USA,VIVE
ISHARES CRNCY HDG MSCI EMRG,iShares Currency Hedged MSCI Emerging Markets ETF,2021,www.ishares.com/us/products/268704/,USA,HEEM
COHERUS BIOSCIENCES INC,Coherus BioSciences Inc,2021,www.coherus.com,USA,CHRS
METALDYNE PERFORMANCE GROUP,Metaldyne Performance Group Inc,2021,www.mpgdriven.com,USA,MPG
HUBSPOT INC,HubSpot Inc,2021,www.hubspot.com,USA,HUBS
TWINLAB CONSOLIDATED HLDGS,Twinlab Consolidated Holdings Inc,2021,www.tchhome.com,USA,TLCC
MEDEQUITIES REALTY TRUST INC,Medequities Realty Trust Inc,2021,www.medequities.com,USA,MRT
VICTORYSHARES DEV ENH VOLATY,VictoryShares Developed Enhanced Volatility Wtd ETF,2021,advisor.vcm.com,USA,CIZ
ARROW INV TR DWA TACTICL ETF,Arrow Investments Trust Arrow DWA Tactical ETF,2021,arrowfunds.com,USA,DWAT
MARIMED INC,MariMed Inc,2021,www.marimedinc.com,USA,MRMD
PROSPER MARKETPLACE INC,Prosper Marketplace Inc,2021,www.prosper.com,USA,9462B
BOOT BARN HOLDINGS INC,Boot Barn Holdings Inc,2021,www.bootbarn.com,USA,BOOT
PENNTEX MIDSTREAM PRTNRS LP,PennTex Midstream Partners LP,2021,www.penntex.com,USA,PTXP
FIBROGEN INC,FibroGen Inc,2021,www.fibrogen.com,USA,FGEN
ETFIS SER TR I INFRACAP MLP,ETFis Series Trust I - InfraCap MLP ETF,2021,www.virtus.com,USA,AMZA
PANGAEA LOGISTICS SOLUTIONS,Pangaea Logistics Solutions Ltd,2021,www.pangaeals.com,USA,PANL
LIBERTY HEALTH SCIENCES INC,Liberty Health Sciences Inc,2021,www.libertyhealthsciences.com,USA,LHSIF
NEVRO CORP,Nevro Corp,2021,www.nevro.com,USA,NVRO
RENAISSANCE INTL IPO ETF,Renaissance International IPO ETF,2021,www.renaissancecapital.com,USA,IPOS
DOMINION ENRG MIDSTRM PRT LP,Dominion Energy Midstream Partners LP,2021,www.dominionenergymidstream.com,USA,DM.1
PROSHRS MRNGSTR ALT SOLUTION,ProShares Morningstar Alternatives Solution ETF,2021,www.proshares.com/funds/alts.html,USA,ALTS
ISHARES GSCI CM DY RO ST ETF,iShares GSCI Commodity Dynamic Roll Strategy ETF,2021,www.ishares.com,USA,COMT
ETF SERIES VIDENT CORE US BD,ETF Series Solutions Vident Core U.S. Bond Strategy Fund,2021,www.videntfunds.com/funds/vbnd,USA,VBND
HABIT RESTAURANTS INC (THE),Habit Restaurants Inc (The),2021,www.habitburger.com,USA,HABT
VERB TECHNOLOGY CO INC,Verb Technology Co Inc,2021,www.verb.tech,USA,VERB
MELROSE BANCORP INC,Melrose Bancorp Inc,2021,www.melrosebank.com,USA,MELR
FIRST TR EUROZONE ALPHADEX,First Trust Eurozone AlphaDEX ETF,2021,www.ftportfolios.com,USA,FEUZ
GLOBAL X DAX GERMANY ETF,Global X DAX Germany ETF,2021,www.globalxetfs.com/funds/dax/,USA,DAX
NEOTHETICS INC,Neothetics Inc,2021,www.neothetics.com,USA,NEOT
CONNECTURE INC,Connecture Inc,2021,www.connecture.com,USA,CNXR
WORKIVA INC,Workiva Inc,2021,www.workiva.com,USA,WK
DEEP DOWN INC,Deep Down Inc,2021,www.koilenergy.com,USA,DPDW
ALPHA ARCHIT US QNT VAL ETF,Alpha Architect U.S. Quantitative Value ETF,2021,etfsite.alphaarchitect.com/qval/,USA,QVAL
NEW SENIOR INVESTMENT GROUP,New Senior Investment Group,2021,www.newseniorinv.com,USA,SNR
CORBUS PHARMACEUTICALS HLDGS,Corbus Pharmaceuticals Holdings Inc,2021,www.corbuspharma.com,USA,CRBP
SIENTRA INC,Sientra Inc,2021,sientra.com,USA,SIEN
SYNEOS HEALTH INC,Syneos Health Inc,2021,www.syneoshealth.com,USA,SYNH
UPLAND SOFTWARE INC,Upland Software Inc,2021,www.uplandsoftware.com,USA,UPLD
GREEN BRICK PARTNERS INC,Green Brick Partners Inc,2021,greenbrickpartners.com,USA,GRBK
FIRST TR ALPHADEX US HEALTH,First Trust AlphaDEX US Health Care Sector Index ETF,2021,www.firsttrust.ca,USA,FHH.
FIRST TRUST INDXX NEXG ETF,First Trust Indxx NextG ETF,2021,www.firsttrust.ca,USA,NXTG.
CONTANGO OIL & GAS CO,Contango Oil & Gas Co,2021,www.contango.com,USA,MCF
FIRST TR ALPHADEX US TECH SE,First Trust AlphaDEX US Technology Sector Index ETF,2021,www.firsttrust.ca,USA,FHQ.
FIRST TRUST CLD COMPUT ETF,First Trust Cloud Computing ETF,2021,www.firsttrust.ca,USA,SKYY.
FIRST TRUST NYSE ARCA BIOTEC,First Trust NYSE Arca Biotechnology ETF,2021,www.firsttrust.ca,USA,FBT.
FIRST TR ALPHADEX US IND SEC,First Trust AlphaDEX US Industrials Sector Index ETF,2021,www.firsttrust.ca,USA,FHG.
FIRST TRUST NSDQ CYBRSCU ETF,First Trust Nasdaq Cybersecurity ETF,2021,www.firsttrust.ca,USA,CIBR.
FIRST TRUST DOW JONS INT ETF,First Trust Dow Jones Internet ETF,2021,www.firsttrust.ca,USA,FDN.
FIRST TRUST NASDAQ CLEAN EDG,First Trust Nasdaq Clean Edge Green Energy ETF,2021,www.firsttrust.ca,USA,QCLN.
JOINT CORP (THE),Joint Corp (The),2021,www.thejoint.com,USA,JYNT
INTL BANCSHARES CORP,International Bancshares Corp,2021,www.ibc.com,USA,IBOC
CAMBRIA GLOBAL MOMENTUM ETF,Cambria Global Momentum ETF,2021,www.cambriafunds.com/gmom,USA,GMOM
FIRST TR EMG MKTS LOCAL CURR,First Trust Exchange-Traded Fund III First Trust Emerging Markets Local Currency Bond ETF,2021,www.ftportfolios.com,USA,FEMB
FIRST TRUST INTL EQTY OPPRT,First Trust Exchange-Traded Fund II First Trust International Equity Opportunities ETF,2021,www.ftportfolios.com,USA,FPXI
FIRST TR LOW DUR OPP ETF,First Trust Exchange-Traded Trust IV First Trust Low Duration Opportunities ETF,2021,www.ftportfolios.com,USA,LMBS
NEMAURA MEDICAL INC,Nemaura Medical Inc,2021,nemauramedical.com,USA,NMRD
ASHFORD INC,Ashford Inc,2021,www.ashfordinc.com,USA,AINC
LANDMARK INFRAST PRTNS LP,Landmark Infrastructure Partners LP,2021,www.landmarkmlp.com,USA,LMRK
JPMORGAN DIVR RET INTL EQTY,JPMorgan Diversified Return International Equity ETF,2021,am.jpmorgan.com,USA,JPIN
AXALTA COATING SYSTEMS LTD,Axalta Coating Systems Ltd,2021,www.axalta.com,USA,AXTA
ATTIS INDUSTRIES INC,Attis Industries Inc,2021,www.attisind.com,USA,ATIS
INVESCO OPTIMUM YLD DIVR ETF,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,2021,www.invesco.com,USA,PDBC
MICRON SOLUTIONS INC,Micron Solutions Inc,2021,www.micronsolutionsinc.com,USA,MICR
FLOOR & DECOR HLDGS,Floor & Decor Holdings Inc,2021,www.flooranddecor.com,USA,FND
ON DECK CAPITAL INC,On Deck Capital Inc,2021,www.ondeck.com,USA,ONDK
VANECK VECTORS CHINAAMC BOND,VanEck Vectors ChinaAMC China Bond ETF,2021,www.vaneck.com,USA,CBON
UNIROYAL GLOBAL ENGINEERED,Uniroyal Global Engineered Products Inc,2021,www.uniroyalglobal.com,USA,UNIR
HORTONWORKS INC,Hortonworks Inc,2021,www.hortonworks.com,USA,HDP
