conm,conml,Year_Last,weburl,loc,tic
ASHLAND GLOBAL HOLDINGS INC,Ashland Global Holdings Inc,2021,www.ashland.com,USA,ASH
ASTRONOVA INC,AstroNova Inc,2021,www.astronovainc.com,USA,ALOT
ASTRONICS CORP,Astronics Corp,2021,www.astronics.com,USA,ATRO
SOUTHERN CO GAS,Southern Co Gas,2021,www.southerncompanygas.com,USA,SO7
REX AMERICAN RESOURCES CORP,Rex American Resources Corp,2021,www.rexamerican.com,USA,REX
AUTODESK INC,AUTODESK INC,2021,www.autodesk.com,USA,ADSK
AUTOMATIC DATA PROCESSING,Automatic Data Processing Inc,2021,www.adp.com,USA,ADP
A V HOMES INC,A V Homes Inc,2021,www.taylormorrison.com/av-homes,USA,AVHI.1
AVERY DENNISON CORP,Avery Dennison Corp,2021,www.averydennison.com,USA,AVY
AVNET INC,Avnet Inc,2021,www.avnet.com,USA,AVT
AZZ INC,AZZ Inc,2021,www.azz.com,USA,AZZ
BRT APARTMENTS CORP,Brt apartments corp,2021,www.brtapartments.com,USA,BRT
BADGER METER INC,Badger Meter Inc.,2021,www.badgermeter.com,USA,BMI
BAKER HUGHES INC,Baker Hughes Inc,2021,www.bakerhughes.com,USA,BHI
BALCHEM CORP  -CL B,Balchem Corp,2021,www.balchem.com,USA,BCPC
PROTECTIVE INSURANCE CORP,Protective Insurance Corp,2021,www.protectiveinsurance.com,USA,PTVCB
BALL CORP,BALL CORPORATION,2021,www.ball.com,USA,BALL
POPULAR INC,Popular Inc,2021,www.popular.com,USA,BPOP
BANK OF HAWAII CORP,Bank of Hawaii Corp,2021,www.boh.com,USA,BOH
BANK OF NEW YORK MELLON CORP,Bank of New York Mellon Corp (The),2021,www.bnymellon.com,USA,BK
BARD (C.R.) INC,Bard (C.R.) Inc,2021,www.crbard.com,USA,BCR
BARNES GROUP INC,Barnes Group Inc,2021,www.barnesgroupinc.com,USA,B
BARNWELL INDUSTRIES,Barnwell Industries Inc,2021,www.brninc.com,USA,BRN
BASSETT FURNITURE INDS,Bassett Furniture Industries Inc.,2021,www.bassettfurniture.com,USA,BSET
BAXTER INTERNATIONAL INC,Baxter International Inc,2021,www.baxter.com,USA,BAX
APPLIED INDUSTRIAL TECH INC,Applied Industrial Technologies Inc,2021,www.applied.com,USA,AIT
BECTON DICKINSON & CO,Becton Dickinson and Co,2021,www.bd.com,USA,BDX
BEL FUSE INC,Bel Fuse Inc.,2021,www.belfuse.com,USA,BELFB
VERIZON COMMUNICATIONS INC,Verizon Communications Inc,2021,www.verizon.com,USA,VZ
BERKSHIRE HATHAWAY,Berkshire Hathaway Inc,2021,www.berkshirehathaway.com,USA,BRK.B
BEST BUY CO INC,Best Buy Co Inc,2021,investors.bestbuy.com,USA,BBY
BIO-RAD LABORATORIES INC,Bio-Rad Laboratories Inc,2021,www.bio-rad.com,USA,BIO
NON INVASIVE MONITOR,Non Invasive Monitor,2021,www.nims-inc.com,USA,NIMU
BLACK HILLS CORP,Black Hills Corp,2021,www.blackhillscorp.com,USA,BKH
BLOCK H & R INC,Block H&R Inc,2021,www.hrblock.com,USA,HRB
BLOUNT INTL INC,Blount International Inc.,2021,www.oregontool.com,USA,BLT
BLUE RIDGE REAL ESTATE CO,Blue Ridge Real Estate Co,2021,www.brreco.com,USA,BRRE
BOB EVANS FARMS,Bob Evans Farms Inc.,2021,bobevans.com,USA,BOBE
BOEING CO,Boeing Co,2021,www.boeing.com,USA,BA
BOLT TECHNOLOGY CORP,Bolt Technology Corp,2021,www.bolt-technology.com,USA,BOLT.1
ROBERT HALF INTL INC,Robert Half International Inc.,2021,www.roberthalf.com,USA,RHI
HEXION INC,Hexion Inc,2021,www.hexion.com,USA,0141A
BOWL AMERICA INC  -CL A,Bowl America Inc,2021,www.bowl-america.com,USA,BWL.A
BRADY CORP,Brady Corp,2021,www.bradyid.com,USA,BRC
BRIDGFORD FOODS CORP,Bridgford Foods Corp,2021,www.bridgford.com,USA,BRID
BRIGGS & STRATTON,Briggs & Stratton Corp.,2021,www.basco.com,USA,BGGSQ
BRISTOL-MYERS SQUIBB CO,Bristol-Myers Squibb Co,2021,www.bms.com,USA,BMY
BROWN FORMAN CORP,Brown-Forman Corp,2021,www.brown-forman.com,USA,BF.B
CALERES INC,Caleres Inc,2021,www.caleres.com,USA,CAL
BRUNSWICK CORP,Brunswick Corp,2021,www.brunswick.com,USA,BC
MATERION CORP,Materion Corp,2021,materion.com,USA,MTRN
BURLINGTON NORTHERN SANTA FE,Burlington Northern Santa Fe LLC,2021,www.bnsf.com,USA,BRK3
MASTEC INC,MasTec Inc.,2021,www.mastec.com,USA,MTZ
UNISYS CORP,Unisys Corp,2021,www.unisys.com,USA,UIS
BUTLER NATIONAL CORP,Butler National Corp,2021,www.butlernational.com,USA,BUKS
LIVERAMP HOLDINGS INC,Liveramp Holdings Inc,2021,www.liveramp.com,USA,RAMP
CDI CORP,CDI Corp.,2021,www.cdicorp.com,USA,CDI
CIGNA CORP,Cigna Corp,2021,www.cigna.com,USA,CI
CSS INDUSTRIES INC,CSS Industries Inc.,2021,www.cssindustries.com,USA,CSS
CNA FINANCIAL CORP,CNA Financial Corp,2021,www.cna.com,USA,CNA
CSP INC,CSP Inc,2021,www.cspi.com,USA,CSPI
CSX CORP,CSX Corp,2021,www.csx.com,USA,CSX
CTS CORP,CTS Corp,2021,www.ctscorp.com,USA,CTS
TELOS CORP/MD,Telos Corp/MD,2021,www.telos.com,USA,TLS
CVD EQUIPMENT CORP,CVD Equipment Corp,2021,www.cvdequipment.com,USA,CVV
CABOT CORP,Cabot Corp,2021,www.cabotcorp.com,USA,CBT
CACI INTL INC  -CL A,CACI International Inc,2021,www.caci.com,USA,CACI
CALAMP CORP,CalAmp Corp,2021,www.calamp.com,USA,CAMP
MUFG AMERICAS HOLDINGS CORP,MUFG Americas Holdings Corp,2021,mufgamericas.com,USA,0176A
KONARED CORP,KonaRed Corp,2021,www.konared.com,USA,KRED
CALIFORNIA WATER SERVICE GP,California Water Service Group,2021,www.calwatergroup.com,USA,CWT
CAMPBELL SOUP CO,Campbell Soup Co,2021,www.campbellsoupcompany.com,USA,CPB
CONSTELLATION BRANDS,Constellation Brands Inc,2021,www.cbrands.com,USA,STZ
CAPITAL PROPERTIES INC,Capital Properties Inc.,2021,capitalproperties.com,USA,CPTP
CARDINAL HEALTH INC,Cardinal Health Inc,2021,www.cardinalhealth.com,USA,CAH
CARLISLE COS INC,Carlisle Cos Inc,2021,www.carlisle.com,USA,CSL
CARPENTER TECHNOLOGY CORP,Carpenter Technology Corp,2021,www.carpentertechnology.com,USA,CRS
CASEYS GENERAL STORES INC,Casey's General Stores Inc.,2021,www.caseys.com,USA,CASY
